Food drink and tobacco,0,40
Manufacture of textiles wearing apparel leather luggage handbags and footwear,498,11
Wood and wood products,0,3
Manufacture of pulp paper and paper products,169,7
Publishing printing and recording,1,43
Production of coke oil gas electricity water,77,150
Manufacture of chemicals and chemical products cleaning products man-made fibres etc rubber and plastic products,545,2666
Other non-metallic mineral products,10,5
Manufacture of basic metals,62,86
Manufacture of fabricated metal products,70,140
Manufacture of machinery and equipment,7,11
Manufacture of office machinery computers electrical radio television and communication equipment medical and optical instruments and clocks,9,68
Manufacture of motor vehicles and other transport equipment,14,35
Furniture and other manufacturing,0,2
Retail - motor vehicles parts and fuel wholesale other retail,9,82
Hotels catering,0,58
Transport storage communications,20,93
Travel agents other business finance real estate and computer related activities,3,415
Miscellaneous,4,351
Social work and public administration,0,207
Education,0,137
Manufacture test1,20,20
Manufacture test2,20,20
Manufacture test3,20,12
Manufacture test4,12,20
